Reads Writes Write% Threads Commits/s Aborts/s
10000 1 .01000 32 4618.55 144.708
10000 10 .10000 32 5083.97 163.672
10000 100 1.00000 32 5491.94 182.029
10000 1000 10.00000 32 4491.83 230.377
