Reads Writes Write% Threads Commits/s Aborts/s
100000 1 .00100 16 240.647 48.3992
100000 1 .00100 24 343.572 109.963
100000 1 .00100 32 308.808 130.342
100000 1 .00100 4 105.101 4.79702
100000 1 .00100 8 168.767 17.9674
100000 10 .01000 16 322.357 72.2069
100000 10 .01000 24 415.763 137.483
100000 10 .01000 32 397.929 174.34
100000 10 .01000 4 94.8 4.28108
100000 10 .01000 8 180.602 18.6847
100000 100 .10000 16 182.434 45.5628
100000 100 .10000 24 212.286 83.6098
100000 100 .10000 32 229.144 122.3
100000 100 .10000 4 49.829 2.56387
100000 100 .10000 8 103.695 12.2689
100000 1000 1.00000 16 42.9279 13.4822
100000 1000 1.00000 24 53.9175 28.4073
100000 1000 1.00000 32 47.1905 36.4135
100000 1000 1.00000 4 13.9205 0.716008
100000 1000 1.00000 8 25.5199 3.26881
100000 10000 10.00000 16 4.97834 1.91231
100000 10000 10.00000 24 5.95679 4.09137
100000 10000 10.00000 32 4.69088 5.54518
100000 10000 10.00000 4 1.79951 0.147232
100000 10000 10.00000 8 3.01315 0.517885
