Reads Writes Write% Threads Commits/s Aborts/s Aborts/commits
10000 1 .01000% 4 570.631 3.94975 .00692172349556894034
10000 1 .01000% 8 1354.23 17.7989 .01314318838011268396
10000 1 .01000% 16 2098.95 51.4269 .02450125062531265632
10000 1 .01000% 24 3124.6 112.203 .03590955642322217243
10000 1 .01000% 32 3609.93 173.618 .04809456139038707121
10000 10 .10000% 4 786.575 13.149 .01671677843816546419
10000 10 .10000% 8 1461.59 32.8808 .02249659617266127983
10000 10 .10000% 16 2962.44 102.758 .03468694724618895235
10000 10 .10000% 24 3260.13 148.604 .04558223138341109096
10000 10 .10000% 32 4631.94 265.576 .05733580314080061486
10000 100 1.00000% 4 482.745 16.0982 .03334721229634693264
10000 100 1.00000% 8 979.48 40.0104 .04084861355004696369
10000 100 1.00000% 16 1863.89 100.453 .05389427487673628808
10000 100 1.00000% 24 2551.86 168.057 .06585666925301544755
10000 100 1.00000% 32 2909.56 235.06 .08078884779829252533
10000 1000 10.00000% 4 133.767 4.731 .03536746731256587947
10000 1000 10.00000% 8 268.695 11.5115 .04284225608961834049
10000 1000 10.00000% 16 523.886 29.587 .05647602722729754183
10000 1000 10.00000% 24 725.368 53.6415 .07395073948671570844
10000 1000 10.00000% 32 764.536 71.5603 .09359964736781525003
